25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,4,3,162,1,50,0,1,0,0,-1.8,92.893,-46.2,1.327,5099.1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,4,4,131,2,50,0,1,0,0,-1.8,92.893,-46.2,1.313,5099.1,0
65,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,1,7,0,80,1,50,1,0,1,0,-2.9,92.201,-31.4,0.861,5076.2,0
58,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,0,4,0,214,2,50,0,1,0,0,1.1,93.994,-36.4,4.857,5191,0
57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,6,1,325,1,50,0,1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,3,11,1,50,0,1,0,0,-1.7,94.055,-39.8,0.742,4991.6,0
45,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,1,6,2,95,1,50,0,1,0,0,1.4,93.918,-42.7,4.962,5228.1,0
30,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,1,0,1,4,3,341,1,50,0,1,0,0,-1.8,92.893,-46.2,1.266,5099.1,0
39,1,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1,1,10,1,95,1,50,0,1,0,0,-0.1,93.2,-42,4.153,5195.8,0
42,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,3,579,3,50,0,1,0,0,-1.8,93.075,-47.1,1.41,5099.1,0
47,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,0,0,1,7,1,320,3,50,0,1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
30,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,1,7,0,167,2,50,0,1,0,0,1.4,93.444,-36.1,4.965,5228.1,0
78,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,1,0,1,4,0,754,2,3,2,0,1,0,-1.8,92.893,-46.2,1.264,5099.1,0
43,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,1,1,10,0,252,3,50,0,1,0,0,-0.1,93.2,-42,4.191,5195.8,0
33,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,6,4,286,2,50,0,1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
39,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,6,3,266,1,50,0,1,0,0,1.4,93.918,-42.7,4.963,5228.1,0
